,Title,Graphs,Memory,OS,Processor,Storage,app_id,Original Price,Developer,Publisher,Genre,Release Date,User Tags,All Time Reception,Total Count of Reviews,Rating,Best Rating,Worst Rating
0,Tabletop Simulator,1,1,1,1,1,286160,"₩ 160,400",Berserk Games,Berserk Games,Casual,"5 Jun, 2015","['Tabletop', 'Board Game', 'Simulation', 'Multiplayer', 'Sandbox', 'Card Game', 'VR', 'Trading Card Game', 'Physics', 'Moddable', 'Casual', '3D', 'Strategy', 'Online Co-Op', 'Wargame', 'Co-op', 'RPG', 'Funny', 'First-Person', 'Indie']",Overwhelmingly Positive,40549,10,10,1
1,Abiotic Factor, GeForce GTX 950 or Radeon HD 7970, 8 GB RAM, Windows 10 or later, i5-8th Gen CPU or similar, 10 GB available space,427410,"₩ 27,000",Deep Field Games,Playstack,Action,"2 May, 2024","['Survival', 'Online Co-Op', 'Open World Survival Craft', 'Early Access', 'Crafting', 'Base Building', 'Sci-fi', 'Co-op Campaign', 'Exploration', 'Multiplayer', 'FPS', 'Sandbox', 'First-Person', 'Building', 'Science', 'Simulation', 'Aliens', 'PvE', 'Immersive Sim', 'Adventure']",Overwhelmingly Positive,15476,10,10,1
2,Risk of Rain 2, GTX 580 / AMD HD 7870, 4 GB RAM,1, Intel Core i3-6100 / AMD FX-8350, 4 GB available space,632360,"₩ 32,240",Hopoo Games,Gearbox Publishing,Action,"11 Aug, 2020","['Third-Person Shooter', 'Action Roguelike', 'Multiplayer', 'Co-op', 'Action', 'Roguelite', 'Roguelike', 'Looter Shooter', 'Loot', 'Online Co-Op', 'Shooter', 'Difficult', 'Third Person', 'Great Soundtrack', 'Indie', 'Survival', 'Singleplayer', 'Soundtrack', 'Early Access', 'Bullet Hell']",Very Positive,201540,9,10,1
3,Star Wars Outlaws," NVIDIA GeForce GTX 1660 (6 GB), AMD RX 5600XT (6 GB), Intel Arc A750 (8 GB, with ReBAR on) or better", 16 GB RAM," Windows 10, Windows 11 (64-bit versions)"," AMD Ryzen 5 3600 @ 3.6 GHz, Intel Core i7-8700K @ 3.70 GHz, or better", 65 GB available space,2842040,"₩ 110,200",Massive Entertainment – A Ubisoft Studio,Ubisoft,Action,"21 Nov, 2024","['Action', 'Singleplayer', 'Adventure', 'Action-Adventure', 'Third Person', 'Open World', 'Shooter', 'Third-Person Shooter', 'Sci-fi', 'Space', 'Story Rich', 'Exploration', 'Parkour', 'RPG', 'Atmospheric', 'Soundtrack', 'Choices Matter', 'Heist', 'Combat', 'Minigames']",Mostly Positive,616,7,10,1
4,Hearts of Iron IV, Nvidia® GeForce™ GTX 470 (1.28GB) | AMD® HD 5850 (1GB) | Intel Iris Xe G7 (Tiger Lake) | AMD® Radeon™ RX Vega 11, 4 GB RAM, Windows® 10 Home 64 Bit, Intel® Core™ i5 750 | AMD® FX 4300, 2 GB available space,394360,"₩ 160,250",Paradox Development Studio,Paradox Interactive,Simulation,"6 Jun, 2016","['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action']",Very Positive,224948,9,10,1
5,PowerWash Simulator," GeForce GTX 760, AMD R7-260X", 4 GB RAM,1," Intel i5-760 (4*2800), AMD Phenom II", 6 GB available space,1290000,"₩ 41,670",FuturLab,Square Enix,Casual,"14 Jul, 2022","['Casual', 'Relaxing', 'Simulation', 'Multiplayer', 'First-Person', '3D', 'Sandbox', 'Funny', 'Co-op', 'Immersive Sim', 'Online Co-Op', 'Family Friendly', 'Story Rich', 'Colorful', 'Realistic', 'Wholesome', 'Singleplayer', 'Indie', 'Cozy', 'Atmospheric']",Overwhelmingly Positive,42446,10,10,1
6,Victoria 3, Nvidia® GeForce™ GTX 660 (2GB)  |  AMD® Radeon™ R7 370 (2GB) or Intel® Iris® Xe Graphics or AMD® Radeon™ Vega 8, 8 GB RAM, Windows® 10 Home 64 Bit, Intel® Core™ i5-3470  |  AMD® FX™ 9370 (AVX support required), 10 GB available space,529340,"₩ 62,160",Paradox Development Studio,Paradox Interactive,Simulation,"25 Oct, 2022","['Grand Strategy', 'Historical', 'Economy', 'Political Sim', 'Strategy', 'Capitalism', 'Diplomacy', 'Politics', 'Management', 'Simulation', 'Alternate History', 'Moddable', 'Political', 'Resource Management', 'Real-Time with Pause', 'Replay Value', 'Multiplayer', 'Sandbox', 'Singleplayer', 'Military']",Mostly Positive,31952,6,10,1
7,Expansion - Hearts of Iron IV: Götterdämmerung, Nvidia® GeForce™ GTX 470 (1.28GB) | AMD® HD 5850 (1GB) | Intel Iris Xe G7 (Tiger Lake) | AMD® Radeon™ RX Vega 11, 4 GB RAM, Windows® 10 Home 64 Bit, Intel® Core™ i5 750 | AMD® FX 4300, 2 GB available space,3152780,"₩ 28,000",Paradox Development Studio,Paradox Interactive,Simulation,"14 Nov, 2024","['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action']",Very Positive,984,9,10,1
8,Core Keeper, GeForce GTX 460 / Radeon HD 5850, 8 GB RAM, Windows 10 64-bit, Intel Core i5-2300 / AMD Ryzen 3 1200,1,1621690,"₩ 21,500",Pugstorm,Fireshine Games,Adventure,"27 Aug, 2024","['Pixel Graphics', 'Open World Survival Craft', 'Online Co-Op', 'Sandbox', 'Survival', 'Adventure', 'Crafting', 'Exploration', '2D', 'Building', 'Mining', 'Dungeon Crawler', 'Procedural Generation', 'Farming Sim', 'Relaxing', 'Cooking', 'Simulation', 'Atmospheric', 'Mystery', 'Casual']",Very Positive,33692,9,10,1
9,ELDEN RING Shadow of the Erdtree, NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GB, 12 GB RAM, Windows 10, INTEL CORE I5-8400 or AMD RYZEN 3 3300X, 60 GB available space,2778580,"₩ 49,800","FromSoftware, Inc.","FromSoftware, Inc.",Action,"20 Jun, 2024","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Lore-Rich', 'Exploration', 'Adventure', 'Story Rich', 'Singleplayer', 'Third Person', 'PvE', 'Action RPG', 'Character Customization', 'PvP', 'Online Co-Op', 'Multiplayer', '3D', 'Co-op']",Mostly Positive,79217,7,10,1
